Categoría,Organización,Ciudad,Web,Email Genérico,Patrón Email,Prioridad,Estado,Fecha Envío,Notas
COLEGIOS,Ilustre Colegio de Abogados de Barcelona (ICAB),Barcelona,https://www.icab.es,info@icab.cat,decanato@icab.cat,ALTA,Pendiente,,Ya has sido ponente - contacto caliente
COLEGIOS,Ilustre Colegio de Abogados de Álava,Vitoria,https://icaalava.com,secretaria@icaalava.com,decano@icaalava.com,ALTA,Pendiente,,Ya has sido ponente - contacto caliente
COLEGIOS,Ilustre Colegio de Abogados de Gipuzkoa,San Sebastián,https://icagipuzkoa.net,icagipuzkoa@icagipuzkoa.net,secretaria@icagipuzkoa.net,ALTA,Pendiente,,Ya has sido ponente
COLEGIOS,Ilustre Colegio de Abogados de Vizcaya,Bilbao,https://icasv-bilbao.com,secretaria@icasv-bilbao.com,decano@icasv-bilbao.com,ALTA,Pendiente,,Ya has sido ponente
COLEGIOS,Ilustre Colegio de Abogados de Almería,Almería,https://www.icaalmeria.com,info@icaalmeria.com,decano@icaalmeria.com,ALTA,Pendiente,,Ya has sido ponente
COLEGIOS,Ilustre Colegio de Abogados de Melilla,Melilla,https://www.icamelilla.es,secretaria@icamelilla.es,decanato@icamelilla.es,ALTA,Pendiente,,Ya has sido ponente
COLEGIOS,Ilustre Colegio de Abogados de La Rioja (ICAR),Logroño,https://icar.es,secretaria@icar.es,decanato@icar.es,MUY ALTA,Pendiente,,Colegio propio - prioritario
COLEGIOS,Ilustre Colegio de Abogados de Madrid (ICAM),Madrid,https://www.icam.es,formacion@icam.es,decano@icam.es,ALTA,Pendiente,,Mayor colegio España
COLEGIOS,Ilustre Colegio de Abogados de Valencia (ICAV),Valencia,https://www.icav.es,formacion@icav.es,decanato@icav.es,ALTA,Pendiente,,
COLEGIOS,Ilustre Colegio de Abogados de Sevilla,Sevilla,https://icas.es,formacion@icas.es,decano@icas.es,ALTA,Pendiente,,
COLEGIOS,Ilustre Colegio de Abogados de Zaragoza (REICAZ),Zaragoza,https://www.reicaz.es,formacion@reicaz.es,decano@reicaz.es,MEDIA,Pendiente,,
COLEGIOS,Ilustre Colegio de Abogados de Málaga,Málaga,https://icamalaga.es,formacion@icamalaga.es,decano@icamalaga.es,MEDIA,Pendiente,,
COLEGIOS,Colegio de Abogados de Pamplona,Pamplona,https://micap.es,secretaria@micap.es,decano@micap.es,MEDIA,Pendiente,,
COLEGIOS,Colegio de Abogados de Santander (ICACS),Santander,https://icacs.com,info@icacs.com,decano@icacs.com,MEDIA,Pendiente,,
COLEGIOS,Colegio de Abogados de Oviedo,Oviedo,https://icaoviedo.com,secretaria@icaoviedo.com,decano@icaoviedo.com,MEDIA,Pendiente,,
COLEGIOS,Consejo General Abogacía Española (CGAE),Madrid,https://www.abogacia.es,info@abogacia.es,presidencia@abogacia.es,ALTA,Pendiente,,Órgano nacional
UNIVERSIDADES,Universidad de La Rioja - Facultad CC Empresariales,Logroño,https://www.unirioja.es,decanato.empresariales@unirioja.es,,MUY ALTA,Pendiente,,Tu propia universidad
UNIVERSIDADES,Universidad de Deusto - Facultad Derecho,Bilbao,https://www.deusto.es,info.derecho@deusto.es,decanato.derecho@deusto.es,ALTA,Pendiente,,Ya has colaborado
UNIVERSIDADES,IE Law School,Madrid,https://www.ie.edu/law-school,law.school@ie.edu,,ALTA,Pendiente,,Prestigio internacional
UNIVERSIDADES,IESE Business School - Área jurídica,Barcelona/Madrid,https://www.iese.edu,info@iese.edu,,ALTA,Pendiente,,Top escuela negocios
UNIVERSIDADES,ESADE Law School,Barcelona,https://www.esade.edu,law@esade.edu,,ALTA,Pendiente,,
UNIVERSIDADES,Universidad Carlos III - Derecho,Madrid,https://www.uc3m.es,info.derecho@uc3m.es,,MEDIA,Pendiente,,
